instance,seed,opt.status,opt.obj,opt.nodes,opt.runtime,optimal,var.size,var.binaries,var.integers,var.continuous,constr.size,const.density,constr.empty,constr.free,constr.singleton,constr.aggregation,constr.precedence,constr.variable_bound,constr.set_partitioning,constr.set_packing,constr.set_covering,constr.binpacking,constr.knapsack,constr.integer_knapsack,constr.cardinality,constr.invariant_knapsack,constr.equation_knapsack,constr.mixed_binary,constr.general_linear
neos-1223462,0,optimal,-751.0,1.0,0.3345808982849121,-751.0000000645,5495,5180,315,0,5890,0.0014534,0,0,0,0,0,760,54,2655,0,0,335,0,50,916,0,875,280
neos-1367061,0,optimal,31320456.26449716,1.0,2.1806609630584717,31320456.264,36600,625,350,35625,102750,6.92035e-05,0,0,0,0,0,101250,0,0,0,0,0,0,0,0,0,625,875
n3seq24,0,optimal,52200.0,274.0,106.31537508964539,52200,119856,119856,0,0,6044,0.00446203,0,0,0,0,0,0,0,4484,1112,0,0,0,0,0,0,448,0
neos-1445532,0,optimal,-17041.0,1.0,0.22459697723388672,-17041,14406,1999,0,12407,1924,0.00100068,0,0,0,127,0,0,0,0,0,0,0,0,0,1,0,1796,0
neos-1396125,0,optimal,3000.0476019188463,2186.0,37.127769947052,3000.0453373,1161,129,0,1032,1494,0.00317722,0,0,0,0,90,774,3,6,0,0,3,0,18,3,0,597,0
neos-1445743,0,optimal,-17905.0,155.0,10.21747899055481,-17905,20344,2150,0,18194,2148,0.000908146,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,2128,0
neos-1445765,0,optimal,-17783.0,613.0,17.95542001724243,-17783,20617,2150,0,18467,2147,0.000908851,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,2123,0
neos16,0,optimal,446.0,519.0,0.8482317924499512,446,377,336,41,0,1018,0.00729834,0,0,0,0,0,336,0,0,0,0,0,9,0,0,0,0,682
neos-1445738,0,optimal,-17380.0,2100.0,69.415030002594,-17380,20631,2150,0,18481,2145,0.000909668,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,2130,0
neos-1605061,0,optimal,12.0,1.0,21.537249088287354,11.99999999556169,4111,3570,0,541,3474,0.00654569,0,0,0,0,0,0,563,0,5,0,0,0,0,0,0,2906,0
neos17,0,optimal,0.15000257742257736,1400.0,1.9717698097229004,0.1500025774,535,300,0,235,486,0.0189647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0
neos-2987310-joes,0,optimal,-607702988.290905,1.0,2.230133056640625,-607702988.3,27837,3051,0,24786,29015,0.000718457,0,0,0,0,2825,0,0,0,0,0,0,0,0,0,0,26190,0
neos-3046601-motu,0,optimal,1459.0,1.0,0.07369804382324219,1459,308,272,17,19,563,0.00824664,0,0,0,272,0,17,0,0,0,0,0,0,0,0,0,1,273
neos-1601936,0,optimal,3.0,240.0,64.3332691192627,2.99999999999894,4446,3906,0,540,3131,0.00520817,0,0,0,0,0,0,579,0,5,0,0,0,0,0,0,2547,0
neos-3046615-murg,0,optimal,1600.0,26826.0,34.497939109802246,1600,274,240,16,18,498,0.00927799,0,0,0,240,0,16,0,0,0,0,0,0,0,0,0,1,241
neos-3072252-nete,0,optimal,11807697.999999877,21309.0,47.74706506729126,11807698,576,144,0,432,432,0.00519226,0,0,0,0,0,288,0,0,0,0,0,0,0,1,0,143,0
neos-3354841-apure,0,optimal,48800.0,1.0,19.326031923294067,48800,100000,0,100000,0,169,0.319118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,169
neos-3402294-bobin,0,optimal,0.06725000000000002,1.0,12.670207977294922,0.06724999999999949,2904,2616,0,288,591076,0.0011855,0,0,0,0,24024,0,64,0,34620,0,0,0,0,532224,0,144,0
neos-3437289-erdre,0,optimal,0.0,0.0,0.008404970169067383,0,12162,12162,0,0,7358,0.00167459,0,0,0,0,0,0,24,2018,0,0,0,0,3306,140,0,1870,0
eilA101-2,0,optimal,880.920108,13461.0,5622.500730037689,880.9201079999999,65832,65832,0,0,100,0.14573,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
neos-3610040-iskar,0,optimal,37.0,1.0,0.06927680969238281,37,430,85,0,345,335,0.0071017,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,270,0
neos-3610051-istra,0,optimal,49.0,56.0,0.19733595848083496,49,805,76,0,729,709,0.00350244,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,507,0
neos-3610173-itata,0,optimal,148.0,1.0,0.09472298622131348,147.99999986,844,77,0,767,747,0.00337844,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,561,0
neos-3611447-jijia,0,optimal,107.0,380.0,0.31140780448913574,107,472,85,0,387,377,0.00643461,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,308,0
neos-3611689-kaihu,0,optimal,119.00000000000017,883.0,0.6336979866027832,119,421,88,0,333,323,0.00745681,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,282,0
ic97_potential,0,optimal,3942.0,758093.0,3670.959865093231,3941.99993090225,728,450,73,205,1046,0.00412088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,146
neos-3665875-lesum,0,optimal,3274.81,2563.0,79.40576386451721,3274.81,3128,320,0,2808,3184,0.00106832,0,0,0,0,0,0,0,0,40,0,0,0,0,8,0,3136,0
